Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	669.682883	669.682883	669.682883	669.682883	0	0	0	0	0	0	3
2	1	0	0.0282738628	306.648828	488.165855	306.648828	669.682883	181.517028	0	0	0	0	0	3
3	1	0	0.0424107941	188.234313	388.188675	188.234313	669.682883	281.494208	0	0	0	0	0	3
4	2	0	0.0565477255	113.364451	319.482619	113.364451	669.682883	350.200264	0	0	0	0	0	3
5	2	0	0.0706846569	111.520081	277.890111	111.520081	669.682883	391.792772	0	0	0	0	0	3
6	2	0	0.0848215883	96.0739538	247.587418	96.0739538	669.682883	422.095465	0	0	0	0	0	3
7	2	0	0.0989585197	96.8577041	226.054602	96.0739538	669.682883	443.628281	0	0	0	0	0	3
8	2	0	0.113095451	84.2253428	208.325944	84.2253428	669.682883	461.356939	0	0	0	0	0	3
9	2	0	0.127232382	80.2912788	194.09987	80.2912788	669.682883	475.583012	0	0	0	0	0	3
10	3	0	0.141369314	72.0312095	181.893004	72.0312095	669.682883	487.789879	0	0	0	0	0	3
11	3	0	0.155506245	68.0920628	171.547464	68.0920628	669.682883	498.135419	0	0	0	0	0	3
12	3	0	0.169643177	62.7200396	162.478512	62.7200396	669.682883	507.204371	0	0	0	0	0	3
13	3	0	0.183780108	59.6225838	154.566518	59.6225838	669.682883	515.116365	0	0	0	0	0	3
14	3	0	0.197917039	57.2017393	147.611891	57.2017393	669.682883	522.070992	0	0	0	0	0	3
15	4	0	0.212053971	55.2968122	141.457552	55.2968122	669.682883	528.225331	0	0	0	0	0	3
16	4	0	0.226190902	55.5768166	136.090006	55.2968122	669.682883	533.592877	0	0	0	0	0	3
17	4	0	0.240327833	56.278494	131.395211	55.2968122	669.682883	538.287672	0	0	0	0	0	3
18	4	0	0.254464765	57.0653683	127.265776	55.2968122	669.682883	542.417107	0	0	0	0	0	3
19	4	0	0.268601696	57.82511	123.611004	55.2968122	669.682883	546.071879	0	0	0	0	0	3
20	4	0	0.282738628	58.5448034	120.357694	55.2968122	669.682883	549.325189	0	0	0	0	0	3
21	5	0	0.296875559	59.1544284	117.443252	55.2968122	669.682883	552.23963	0	0	0	0	0	3
22	5	0	0.31101249	59.475112	114.808337	55.2968122	669.682883	554.874546	0	0	0	0	0	3
23	5	0	0.325149422	59.9497852	112.423183	55.2968122	669.682883	557.2597	0	0	0	0	0	3
24	5	0	0.339286353	59.8277909	110.231708	55.2968122	669.682883	559.451175	0	0	0	0	0	3
25	5	0	0.353423285	60.0641715	108.225006	55.2968122	669.682883	561.457876	0	0	0	0	0	3
26	6	0	0.367560216	60.1001901	106.374052	55.2968122	669.682883	563.308831	0	0	0	0	0	3
27	6	0	0.381697147	60.2555082	104.665958	55.2968122	669.682883	565.016925	0	0	0	0	0	3
28	6	0	0.395834079	60.1492657	103.076076	55.2968122	669.682883	566.606807	0	0	0	0	0	3
29	6	0	0.40997101	60.0936223	101.593922	55.2968122	669.682883	568.088961	0	0	0	0	0	3
30	6	0	0.424107941	60.1485946	100.212411	55.2968122	669.682883	569.470472	0	0	0	0	0	3
31	6	0	0.438244873	60.0360279	98.9163991	55.2968122	669.682883	570.766484	0	0	0	0	0	3
32	7	0	0.452381804	60.3034648	97.7097449	55.2968122	669.682883	571.973138	0	0	0	0	0	3
33	7	0	0.466518736	60.2966462	96.5760146	55.2968122	669.682883	573.106868	0	0	0	0	0	3
34	7	0	0.480655667	60.4545586	95.5136188	55.2968122	669.682883	574.169264	0	0	0	0	0	3
35	7	0	0.494792598	60.3170467	94.5080025	55.2968122	669.682883	575.17488	0	0	0	0	0	3
36	7	0	0.50892953	60.5371723	93.5643683	55.2968122	669.682883	576.118515	0	0	0	0	0	3
37	8	0	0.523066461	60.467291	76.641713	55.2968122	306.648828	251.352016	0	0	0	0	0	3
38	8	0	0.537203392	60.8107873	69.8128785	55.2968122	188.234313	132.9375	0	0	0	0	0	3
