Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	111.457678	111.457678	111.457678	111.457678	0	0	0	0	0	0	3
2	1	0	0.0282738628	72.5903825	92.0240302	72.5903825	111.457678	19.4336478	0	0	0	0	0	3
3	1	0	0.0424107941	75.5030132	86.5170246	72.5903825	111.457678	24.9406534	0	0	0	0	0	3
4	2	0	0.0565477255	80.8875563	85.1096575	72.5903825	111.457678	26.3480205	0	0	0	0	0	3
5	2	0	0.0706846569	84.8967914	85.0670843	72.5903825	111.457678	26.3905937	0	0	0	0	0	3
6	2	0	0.0848215883	81.8529301	84.5313919	72.5903825	111.457678	26.9262861	0	0	0	0	0	3
7	2	0	0.0989585197	75.5074671	83.2422598	72.5903825	111.457678	28.2154182	0	0	0	0	0	3
8	2	0	0.113095451	68.8822038	81.4472528	68.8822038	111.457678	30.0104252	0	0	0	0	0	3
9	2	0	0.127232382	64.3113607	79.5432648	64.3113607	111.457678	31.9144132	0	0	0	0	0	3
10	3	0	0.141369314	61.2467583	77.7136142	61.2467583	111.457678	33.7440638	0	0	0	0	0	3
11	3	0	0.155506245	60.0773699	76.1103192	60.0773699	111.457678	35.3473588	0	0	0	0	0	3
12	3	0	0.169643177	59.204016	74.7014606	59.204016	111.457678	36.7562174	0	0	0	0	0	3
13	3	0	0.183780108	58.2296238	73.4343963	58.2296238	111.457678	38.0232817	0	0	0	0	0	3
14	3	0	0.197917039	57.3672561	72.2867434	57.3672561	111.457678	39.1709346	0	0	0	0	0	3
15	4	0	0.212053971	56.3891944	71.2269068	56.3891944	111.457678	40.2307712	0	0	0	0	0	3
16	4	0	0.226190902	56.0466646	70.2781416	56.0466646	111.457678	41.1795363	0	0	0	0	0	3
17	4	0	0.240327833	55.8349873	69.4285443	55.8349873	111.457678	42.0291337	0	0	0	0	0	3
18	4	0	0.254464765	55.4407845	68.6514466	55.4407845	111.457678	42.8062314	0	0	0	0	0	3
19	4	0	0.268601696	55.3275372	67.9501882	55.3275372	111.457678	43.5074898	0	0	0	0	0	3
20	4	0	0.282738628	55.0335012	67.3043538	55.0335012	111.457678	44.1533242	0	0	0	0	0	3
21	5	0	0.296875559	54.943802	66.7157561	54.943802	111.457678	44.7419219	0	0	0	0	0	3
22	5	0	0.31101249	54.6694343	66.168196	54.6694343	111.457678	45.2894819	0	0	0	0	0	3
23	5	0	0.325149422	54.5923145	65.6648968	54.5923145	111.457678	45.7927811	0	0	0	0	0	3
24	5	0	0.339286353	54.2988085	65.1913098	54.2988085	111.457678	46.2663682	0	0	0	0	0	3
25	5	0	0.353423285	54.2470759	64.7535405	54.2470759	111.457678	46.7041375	0	0	0	0	0	3
26	6	0	0.367560216	54.0700074	64.3426354	54.0700074	111.457678	47.1150426	0	0	0	0	0	3
27	6	0	0.381697147	54.1176951	63.9639339	54.0700074	111.457678	47.4937441	0	0	0	0	0	3
28	6	0	0.395834079	54.0071434	63.6083342	54.0071434	111.457678	47.8493438	0	0	0	0	0	3
29	6	0	0.40997101	53.9257607	63.2744524	53.9257607	111.457678	48.1832256	0	0	0	0	0	3
