Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	117.500604	117.500604	117.500604	117.500604	0	0	0	0	0	0	3
2	1	0	0.0282738628	61.0685672	89.2845855	61.0685672	117.500604	28.2160184	0	0	0	0	0	3
3	1	0	0.0424107941	56.3167765	78.2953159	56.3167765	117.500604	39.205288	0	0	0	0	0	3
4	2	0	0.0565477255	47.5065984	70.5981365	47.5065984	117.500604	46.9024674	0	0	0	0	0	3
5	2	0	0.0706846569	45.2288167	65.5242725	45.2288167	117.500604	51.9763314	0	0	0	0	0	3
6	2	0	0.0848215883	43.1094952	61.7884763	43.1094952	117.500604	55.7121276	0	0	0	0	0	3
7	2	0	0.0989585197	42.2219317	58.9932557	42.2219317	117.500604	58.5073482	0	0	0	0	0	3
8	2	0	0.113095451	40.5119133	56.6830879	40.5119133	117.500604	60.817516	0	0	0	0	0	3
9	2	0	0.127232382	39.0164179	54.7201245	39.0164179	117.500604	62.7804794	0	0	0	0	0	3
10	3	0	0.141369314	36.507219	52.898834	36.507219	117.500604	64.6017699	0	0	0	0	0	3
11	3	0	0.155506245	35.2347034	51.2930039	35.2347034	117.500604	66.2076	0	0	0	0	0	3
12	3	0	0.169643177	34.1620657	49.8654257	34.1620657	117.500604	67.6351782	0	0	0	0	0	3
13	3	0	0.183780108	33.6033513	48.6144969	33.6033513	117.500604	68.886107	0	0	0	0	0	3
14	3	0	0.197917039	33.294155	47.5201868	33.294155	117.500604	69.9804171	0	0	0	0	0	3
15	4	0	0.212053971	33.0538538	46.5557646	33.0538538	117.500604	70.9448393	0	0	0	0	0	3
16	4	0	0.226190902	32.9077463	45.7027635	32.9077463	117.500604	71.7978404	0	0	0	0	0	3
17	4	0	0.240327833	32.7377725	44.9401169	32.7377725	117.500604	72.560487	0	0	0	0	0	3
18	4	0	0.254464765	32.3957035	44.2432051	32.3957035	117.500604	73.2573988	0	0	0	0	0	3
19	4	0	0.268601696	32.396338	43.6196857	32.3957035	117.500604	73.8809182	0	0	0	0	0	3
20	4	0	0.282738628	31.8063986	43.0290214	31.8063986	117.500604	74.4715825	0	0	0	0	0	3
21	5	0	0.296875559	31.7133894	42.4901818	31.7133894	117.500604	75.0104221	0	0	0	0	0	3
22	5	0	0.31101249	31.4252412	41.9872299	31.4252412	117.500604	75.513374	0	0	0	0	0	3
23	5	0	0.325149422	31.4560131	41.5293509	31.4252412	117.500604	75.971253	0	0	0	0	0	3
24	5	0	0.339286353	31.400661	41.1073222	31.400661	117.500604	76.3932817	0	0	0	0	0	3
25	5	0	0.353423285	31.498216	40.7229579	31.400661	117.500604	76.777646	0	0	0	0	0	3
26	6	0	0.367560216	31.459613	40.3666754	31.400661	117.500604	77.1339285	0	0	0	0	0	3
27	6	0	0.381697147	31.5322836	40.0394757	31.400661	117.500604	77.4611282	0	0	0	0	0	3
28	6	0	0.395834079	31.4723338	39.7335064	31.400661	117.500604	77.7670975	0	0	0	0	0	3
29	6	0	0.40997101	31.5087341	39.4498936	31.400661	117.500604	78.0507103	0	0	0	0	0	3
30	6	0	0.424107941	31.523493	39.1856802	31.400661	117.500604	78.3149237	0	0	0	0	0	3
31	6	0	0.438244873	31.5385468	38.9389985	31.400661	117.500604	78.5616054	0	0	0	0	0	3
32	7	0	0.452381804	31.6422907	38.7109764	31.400661	117.500604	78.7896275	0	0	0	0	0	3
33	7	0	0.466518736	31.5656523	38.4944514	31.400661	117.500604	79.0061525	0	0	0	0	0	3
34	7	0	0.480655667	31.6086522	38.2919279	31.400661	117.500604	79.208676	0	0	0	0	0	3
35	7	0	0.494792598	31.4475898	38.0963754	31.400661	117.500604	79.4042285	0	0	0	0	0	3
36	7	0	0.50892953	31.511129	37.9134519	31.400661	117.500604	79.587152	0	0	0	0	0	3
37	8	0	0.523066461	31.3845087	35.5213381	31.3845087	61.0685672	29.6840585	0	0	0	0	0	3
38	8	0	0.537203392	31.4592217	34.6988563	31.3845087	56.3167765	24.9322678	0	0	0	0	0	3
39	8	0	0.551340324	31.4193763	34.0072618	31.3845087	47.5065984	16.1220897	0	0	0	0	0	3
40	8	0	0.565477255	31.4588494	33.561491	31.3845087	45.2288167	13.844308	0	0	0	0	0	3
41	8	0	0.579614187	31.4100819	33.1776373	31.3845087	43.1094952	11.7249865	0	0	0	0	0	3
42	8	0	0.593751118	31.4372463	32.8534081	31.3845087	42.2219317	10.837423	0	0	0	0	0	3
43	9	0	0.607888049	31.4133115	32.5531687	31.3845087	40.5119133	9.12740455	0	0	0	0	0	3
44	9	0	0.622024981	31.4541303	32.3015636	31.3845087	39.0164179	7.63190916	0	0	0	0	0	3
45	9	0	0.636161912	31.3881834	32.0896682	31.3845087	36.507219	5.12271033	0	0	0	0	0	3
46	9	0	0.650298844	31.4164734	31.9482586	31.3845087	35.2347034	3.85019465	0	0	0	0	0	3
47	9	0	0.664435775	31.3604237	31.8406397	31.3604237	34.1620657	2.80164201	0	0	0	0	0	3
48	10	0	0.678572706	31.3717958	31.7631322	31.3604237	33.6033513	2.24292762	0	0	0	0	0	3
49	10	0	0.692709638	31.2943347	31.6989929	31.2943347	33.294155	1.99982039	0	0	0	0	0	3
50	10	0	0.706846569	31.3781974	31.6457718	31.2943347	33.0538538	1.75951912	0	0	0	0	0	3
51	10	0	0.7209835	31.4032697	31.5999223	31.2943347	32.9077463	1.61341169	0	0	0	0	0	3
52	10	0	0.735120432	31.4196351	31.5585859	31.2943347	32.7377725	1.44343783	0	0	0	0	0	3
53	11	0	0.749257363	31.3625009	31.5203839	31.2943347	32.396338	1.1020033	0	0	0	0	0	3
54	11	0	0.763394295	31.3470942	31.4912558	31.2943347	32.396338	1.1020033	0	0	0	0	0	3
55	11	0	0.777531226	31.3655662	31.4626233	31.2943347	31.8063986	0.512063905	0	0	0	0	0	3
56	11	0	0.791668157	31.3643811	31.450345	31.2943347	31.7133894	0.41905476	0	0	0	0	0	3
57	11	0	0.805805089	31.3000654	31.4388638	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
58	11	0	0.81994202	31.3668001	31.4372404	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
59	12	0	0.834078952	31.3220173	31.4335183	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
60	12	0	0.848215883	31.3543416	31.4322317	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
61	12	0	0.862352814	31.2979795	31.4266696	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
62	12	0	0.876489746	31.3086483	31.4224761	31.2943347	31.6422907	0.347956039	0	0	0	0	0	3
63	12	0	0.890626677	31.2602673	31.4149201	31.2602673	31.6422907	0.382023354	0	0	0	0	0	3
64	13	0	0.904763608	31.3258764	31.4108518	31.2602673	31.6422907	0.382023354	0	0	0	0	0	3
65	13	0	0.91890054	31.2405911	31.4034034	31.2405911	31.6422907	0.401699583	0	0	0	0	0	3
66	13	0	0.933037471	31.2813484	31.3966772	31.2405911	31.6422907	0.401699583	0	0	0	0	0	3
67	13	0	0.947174403	31.2396379	31.3883741	31.2396379	31.6422907	0.402652786	0	0	0	0	0	3
68	13	0	0.961311334	31.2675138	31.3779637	31.2396379	31.6086522	0.369014307	0	0	0	0	0	3
69	13	0	0.975448265	31.2383132	31.3688709	31.2383132	31.6086522	0.370339041	0	0	0	0	0	3
70	14	0	0.989585197	31.2640009	31.3592973	31.2383132	31.511129	0.272815849	0	0	0	0	0	3
71	14	0	1.00372213	31.2246636	31.3531049	31.2246636	31.511129	0.2864654	0.752763387	0	100	0	0	3
