Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	-125.992928	-125.992928	-125.992928	-125.992928	0	0	0	0	0	0	3
2	1	0	0.0282738628	-11.3265352	-68.6597314	-125.992928	-11.3265352	57.3331962	0	0	0	0	0	3
3	1	0	0.0424107941	-13.0833371	-50.1342667	-125.992928	-11.3265352	75.858661	0	0	0	0	0	3
4	2	0	0.0565477255	-4.47708191	-38.7199705	-125.992928	-4.47708191	87.2729571	0	0	0	0	0	3
5	2	0	0.0706846569	-12.882627	-33.5525018	-125.992928	-4.47708191	92.4404258	0	0	0	0	0	3
6	2	0	0.0848215883	-10.3803675	-29.6904794	-125.992928	-4.47708191	96.3024482	0	0	0	0	0	3
7	2	0	0.0989585197	-9.26668195	-26.772794	-125.992928	-4.47708191	99.2201336	0	0	0	0	0	3
8	2	0	0.113095451	-10.5319686	-24.7426909	-125.992928	-4.47708191	101.250237	0	0	0	0	0	3
9	2	0	0.127232382	-16.3649346	-23.8118291	-125.992928	-4.47708191	102.181099	0	0	0	0	0	3
10	3	0	0.141369314	-19.5275006	-23.3833962	-125.992928	-4.47708191	102.609531	0	0	0	0	0	3
11	3	0	0.155506245	-23.9745643	-23.4371388	-125.992928	-4.47708191	102.609531	0	0	0	0	0	3
12	3	0	0.169643177	-21.0725326	-23.2400883	-125.992928	-4.47708191	102.752839	0	0	0	0	0	3
13	3	0	0.183780108	-19.7129342	-22.9687687	-125.992928	-4.47708191	103.024159	0	0	0	0	0	3
14	3	0	0.197917039	-18.7617531	-22.6682676	-125.992928	-4.47708191	103.32466	0	0	0	0	0	3
15	4	0	0.212053971	-16.7737203	-22.2752978	-125.992928	-4.47708191	103.71763	0	0	0	0	0	3
16	4	0	0.226190902	-16.3817736	-21.9069525	-125.992928	-4.47708191	104.085975	0	0	0	0	0	3
17	4	0	0.240327833	-15.4559777	-21.5274834	-125.992928	-4.47708191	104.465444	0	0	0	0	0	3
18	4	0	0.254464765	-15.0960826	-21.1701834	-125.992928	-4.47708191	104.822744	0	0	0	0	0	3
19	4	0	0.268601696	-15.8495067	-20.8901477	-125.992928	-4.47708191	105.10278	0	0	0	0	0	3
20	4	0	0.282738628	-13.8249099	-20.5368859	-125.992928	-4.47708191	105.456042	0	0	0	0	0	3
21	5	0	0.296875559	-14.2888358	-20.2393597	-125.992928	-4.47708191	105.753568	0	0	0	0	0	3
22	5	0	0.31101249	-14.6056965	-19.9832841	-125.992928	-4.47708191	106.009644	0	0	0	0	0	3
23	5	0	0.325149422	-14.0646941	-19.7259541	-125.992928	-4.47708191	106.266974	0	0	0	0	0	3
24	5	0	0.339286353	-13.3981041	-19.4622936	-125.992928	-4.47708191	106.530634	0	0	0	0	0	3
25	5	0	0.353423285	-13.1014327	-19.2078592	-125.992928	-4.47708191	106.785068	0	0	0	0	0	3
26	6	0	0.367560216	-12.3237825	-18.943087	-125.992928	-4.47708191	107.049841	0	0	0	0	0	3
27	6	0	0.381697147	-12.3575972	-18.69918	-125.992928	-4.47708191	107.293748	0	0	0	0	0	3
28	6	0	0.395834079	-11.3359189	-18.4362064	-125.992928	-4.47708191	107.556721	0	0	0	0	0	3
29	6	0	0.40997101	-12.150217	-18.2194481	-125.992928	-4.47708191	107.773479	0	0	0	0	0	3
30	6	0	0.424107941	-12.5683301	-18.0310775	-125.992928	-4.47708191	107.96185	0	0	0	0	0	3
31	6	0	0.438244873	-12.5414297	-17.8539921	-125.992928	-4.47708191	108.138936	0	0	0	0	0	3
32	7	0	0.452381804	-13.4700012	-17.7169924	-125.992928	-4.47708191	108.275935	0	0	0	0	0	3
33	7	0	0.466518736	-13.4677438	-17.5882273	-125.992928	-4.47708191	108.4047	0	0	0	0	0	3
34	7	0	0.480655667	-12.9962389	-17.4531688	-125.992928	-4.47708191	108.539759	0	0	0	0	0	3
35	7	0	0.494792598	-13.5099648	-17.3405058	-125.992928	-4.47708191	108.652422	0	0	0	0	0	3
36	7	0	0.50892953	-12.6241843	-17.2094969	-125.992928	-4.47708191	108.783431	0	0	0	0	0	3
37	8	0	0.523066461	-12.173397	-14.0478433	-23.9745643	-4.47708191	19.4974824	0	0	0	0	0	3
38	8	0	0.537203392	-11.5343898	-14.053617	-23.9745643	-4.47708191	19.4974824	0	0	0	0	0	3
39	8	0	0.551340324	-11.8670533	-14.0198314	-23.9745643	-4.47708191	19.4974824	0	0	0	0	0	3
40	8	0	0.565477255	-11.1229643	-14.2044392	-23.9745643	-9.26668195	14.7078823	0	0	0	0	0	3
41	8	0	0.579614187	-11.7306772	-14.1724406	-23.9745643	-9.26668195	14.7078823	0	0	0	0	0	3
42	8	0	0.593751118	-11.3202207	-14.1985476	-23.9745643	-9.26668195	12.7529627	0	0	0	0	0	3
43	9	0	0.607888049	-11.3050594	-14.2551692	-23.9745643	-10.5319686	10.7228595	0	0	0	0	0	3
44	9	0	0.622024981	-11.5314988	-14.2829339	-23.9745643	-11.1229643	9.7919977	0	0	0	0	0	3
45	9	0	0.636161912	-11.2475769	-14.1407851	-23.9745643	-11.1229643	9.41730741	0	0	0	0	0	3
46	9	0	0.650298844	-10.8438587	-13.8995728	-23.9745643	-10.8438587	9.53756592	0	0	0	0	0	3
47	9	0	0.664435775	-11.2569141	-13.5463048	-21.0725326	-10.8438587	9.69378347	0	0	0	0	0	3
48	10	0	0.678572706	-11.1153361	-13.269716	-19.7129342	-10.8438587	8.86907552	0	0	0	0	0	3
49	10	0	0.692709638	-11.3159649	-13.0364668	-18.7617531	-10.8438587	7.9178944	0	0	0	0	0	3
50	10	0	0.706846569	-11.6636645	-12.8392977	-16.7737203	-10.8438587	5.92986168	0	0	0	0	0	3
51	10	0	0.7209835	-11.8116627	-12.7014628	-16.3817736	-10.8438587	5.53791493	0	0	0	0	0	3
52	10	0	0.735120432	-11.5397753	-12.5669628	-15.8495067	-10.8438587	5.00564803	0	0	0	0	0	3
53	11	0	0.749257363	-11.8981822	-12.4681352	-15.8495067	-10.8438587	5.00564803	0	0	0	0	0	3
54	11	0	0.763394295	-11.6109053	-12.3713247	-15.8495067	-10.8438587	5.00564803	0	0	0	0	0	3
55	11	0	0.777531226	-12.149586	-12.2685491	-14.6056965	-10.8438587	3.76183783	0	0	0	0	0	3
56	11	0	0.791668157	-11.8543993	-12.2138127	-14.6056965	-10.8438587	3.76183783	0	0	0	0	0	3
57	11	0	0.805805089	-13.0577678	-12.1796164	-14.6056965	-10.8438587	3.76183783	0	0	0	0	0	3
58	11	0	0.81994202	-12.2845643	-12.1151405	-14.0646941	-10.8438587	3.22083546	0	0	0	0	0	3
59	12	0	0.834078952	-12.378363	-12.068298	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
60	12	0	0.848215883	-12.018375	-12.0299722	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
61	12	0	0.862352814	-12.9252515	-12.0250782	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
62	12	0	0.876489746	-12.6035347	-12.0328491	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
63	12	0	0.890626677	-13.0782027	-12.0528659	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
64	13	0	0.904763608	-12.8542226	-12.0950411	-13.5099648	-10.8438587	2.66610615	0	0	0	0	0	3
65	13	0	0.91890054	-13.6135974	-12.1356905	-13.6135974	-10.8438587	2.76973873	0	0	0	0	0	3
66	13	0	0.933037471	-13.0996781	-12.1504502	-13.6135974	-10.8438587	2.76973873	0	0	0	0	0	3
67	13	0	0.947174403	-14.0193782	-12.1915043	-14.0193782	-10.8438587	3.1755195	0	0	0	0	0	3
68	13	0	0.961311334	-13.3993097	-12.1895406	-14.0193782	-10.8438587	3.1755195	0	0	0	0	0	3
69	13	0	0.975448265	-13.3033213	-12.1849734	-14.0193782	-10.8438587	3.1755195	0	0	0	0	0	3
70	14	0	0.989585197	-13.3125562	-12.1937599	-14.0193782	-10.8438587	3.1755195	0	0	0	0	0	3
71	14	0	1.00372213	-13.5433781	-12.1946881	-14.0193782	-10.8438587	3.1755195	0.584924472	0	18.4	0	0	3
72	14	0	1.01785906	-13.3618415	-12.2151786	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
73	14	0	1.03199599	-13.5486021	-12.2533787	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
74	14	0	1.04613292	-13.493754	-12.3078055	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
75	15	0	1.06026985	-13.8843177	-12.3638406	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
76	15	0	1.07440678	-13.4547725	-12.4286131	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
77	15	0	1.08854372	-13.5124738	-12.4781074	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
78	15	0	1.10268065	-13.2379163	-12.5313767	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
79	15	0	1.11681758	-13.700234	-12.5979094	-14.0193782	-10.8438587	2.25785572	0.584924472	0	25.9	0	0	3
80	15	0	1.13095451	-13.3676729	-12.6489142	-14.0193782	-10.8438587	2.11570689	0.584924472	0	27.6	0	0	3
81	16	0	1.14509144	-13.3385963	-12.7069981	-14.0193782	-10.8438587	1.87449462	0.584924472	0	31.2	0	0	3
82	16	0	1.15922837	-13.7923558	-12.7889008	-14.0193782	-11.1153361	1.52122655	0.584924472	0	38.4	0	0	3
83	16	0	1.1733653	-13.2949611	-12.8455132	-14.0193782	-11.1153361	1.24463776	0.584924472	0	46.9	0	0	3
84	16	0	1.18750224	-12.8991226	-12.8950628	-14.0193782	-11.3159649	1.01138862	0.584924472	0	57.8	0	0	3
85	16	0	1.20163917	-13.2813076	-12.9496557	-14.0193782	-11.5397753	0.924577435	0.584924472	0	63.2	0	0	3
