Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	-111.22176	-111.22176	-111.22176	-111.22176	0	0	0	0	0	0	3
2	1	0	0.0282738628	-19.5763833	-65.3990719	-111.22176	-19.5763833	45.8226886	0	0	0	0	0	3
3	1	0	0.0424107941	-3.37132754	-44.7231571	-111.22176	-3.37132754	66.4986033	0	0	0	0	0	3
4	2	0	0.0565477255	14.8075137	-29.8404894	-111.22176	14.8075137	81.381271	0	0	0	0	0	3
5	2	0	0.0706846569	16.4135289	-20.5896857	-111.22176	16.4135289	90.6320747	0	0	0	0	0	3
6	2	0	0.0848215883	19.0374012	-13.9851712	-111.22176	19.0374012	97.2365892	0	0	0	0	0	3
7	2	0	0.0989585197	21.0311838	-8.98283482	-111.22176	21.0311838	102.238926	0	0	0	0	0	3
8	2	0	0.113095451	21.3612415	-5.18982528	-111.22176	21.3612415	106.031935	0	0	0	0	0	3
9	2	0	0.127232382	20.346695	-2.35243413	-111.22176	21.3612415	108.869326	0	0	0	0	0	3
10	3	0	0.141369314	23.8918926	0.271998543	-111.22176	23.8918926	111.493759	0	0	0	0	0	3
11	3	0	0.155506245	24.8682723	2.50802343	-111.22176	24.8682723	113.729784	0	0	0	0	0	3
12	3	0	0.169643177	25.8676982	4.45466299	-111.22176	25.8676982	115.676423	0	0	0	0	0	3
13	3	0	0.183780108	26.8615356	6.17826858	-111.22176	26.8615356	117.400029	0	0	0	0	0	3
14	3	0	0.197917039	29.6964191	7.85813647	-111.22176	29.6964191	119.079897	0	0	0	0	0	3
15	4	0	0.212053971	33.081298	9.53968058	-111.22176	33.081298	120.761441	0	0	0	0	0	3
16	4	0	0.226190902	36.8735132	11.2480451	-111.22176	36.8735132	122.469806	0	0	0	0	0	3
17	4	0	0.240327833	41.986382	13.0561826	-111.22176	41.986382	124.277943	0	0	0	0	0	3
18	4	0	0.254464765	46.1481576	14.8946256	-111.22176	46.1481576	126.116386	0	0	0	0	0	3
19	4	0	0.268601696	48.7887097	16.6785248	-111.22176	48.7887097	127.900285	0	0	0	0	0	3
20	4	0	0.282738628	51.2500709	18.4071021	-111.22176	51.2500709	129.628863	0	0	0	0	0	3
21	5	0	0.296875559	52.792187	20.0444871	-111.22176	52.792187	131.266248	0	0	0	0	0	3
22	5	0	0.31101249	52.3241155	21.5117429	-111.22176	52.792187	132.733503	0	0	0	0	0	3
23	5	0	0.325149422	52.7297521	22.8690477	-111.22176	52.792187	134.090808	0	0	0	0	0	3
24	5	0	0.339286353	50.9809864	24.0403785	-111.22176	52.792187	135.262139	0	0	0	0	0	3
25	5	0	0.353423285	51.2729661	25.129682	-111.22176	52.792187	136.351442	0	0	0	0	0	3
26	6	0	0.367560216	50.6385966	26.1107941	-111.22176	52.792187	137.332555	0	0	0	0	0	3
27	6	0	0.381697147	50.0897526	26.9989036	-111.22176	52.792187	138.220664	0	0	0	0	0	3
28	6	0	0.395834079	48.9338753	27.7822955	-111.22176	52.792187	139.004056	0	0	0	0	0	3
29	6	0	0.40997101	49.1676638	28.519722	-111.22176	52.792187	139.741482	0	0	0	0	0	3
30	6	0	0.424107941	47.4799929	29.151731	-111.22176	52.792187	140.373491	0	0	0	0	0	3
31	6	0	0.438244873	48.1401932	29.764262	-111.22176	52.792187	140.986022	0	0	0	0	0	3
32	7	0	0.452381804	46.5934222	30.2901733	-111.22176	52.792187	141.511934	0	0	0	0	0	3
33	7	0	0.466518736	47.7911408	30.8205057	-111.22176	52.792187	142.042266	0	0	0	0	0	3
34	7	0	0.480655667	47.0128797	31.296752	-111.22176	52.792187	142.518512	0	0	0	0	0	3
35	7	0	0.494792598	47.601025	31.7625883	-111.22176	52.792187	142.984349	0	0	0	0	0	3
36	7	0	0.50892953	47.3573572	32.1957763	-111.22176	52.792187	143.417537	0	0	0	0	0	3
37	8	0	0.523066461	47.1528375	36.5950707	-19.5763833	52.792187	72.3685703	0	0	0	0	0	3
38	8	0	0.537203392	46.310506	38.4252621	-3.37132754	52.792187	56.1635145	0	0	0	0	0	3
39	8	0	0.551340324	46.4256578	39.8085117	14.8075137	52.792187	37.9846733	0	0	0	0	0	3
40	8	0	0.565477255	46.0309422	40.6758292	16.4135289	52.792187	36.3786581	0	0	0	0	0	3
41	8	0	0.579614187	46.079921	41.4998956	19.0374012	52.792187	33.7547858	0	0	0	0	0	3
42	8	0	0.593751118	45.4019968	42.2322455	20.346695	52.792187	32.445492	0	0	0	0	0	3
43	9	0	0.607888049	45.6107853	42.9150122	20.346695	52.792187	32.445492	0	0	0	0	0	3
