Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	101491.171	101491.171	101491.171	101491.171	0	0	0	0	0	0	3
2	1	0	0.0282738628	100981.404	101236.287	100981.404	101491.171	254.883484	0	0	0	0	0	3
3	1	0	0.0424107941	101212.976	101228.517	100981.404	101491.171	262.653747	0	0	0	0	0	3
4	2	0	0.0565477255	101281.01	101241.64	100981.404	101491.171	262.653747	0	0	0	0	0	3
5	2	0	0.0706846569	101299.354	101253.183	100981.404	101491.171	262.653747	0	0	0	0	0	3
6	2	0	0.0848215883	101243.865	101251.63	100981.404	101491.171	262.653747	0	0	0	0	0	3
7	2	0	0.0989585197	101184.724	101242.072	100981.404	101491.171	262.653747	0	0	0	0	0	3
8	2	0	0.113095451	101149.302	101230.476	100981.404	101491.171	262.653747	0	0	0	0	0	3
9	2	0	0.127232382	101151.986	101221.755	100981.404	101491.171	269.415963	0	0	0	0	0	3
10	3	0	0.141369314	101133.791	101212.958	100981.404	101491.171	278.21234	0	0	0	0	0	3
11	3	0	0.155506245	101140.416	101206.363	100981.404	101491.171	284.807088	0	0	0	0	0	3
12	3	0	0.169643177	101127.65	101199.804	100981.404	101491.171	291.366574	0	0	0	0	0	3
13	3	0	0.183780108	101123.873	101193.963	100981.404	101491.171	297.207435	0	0	0	0	0	3
14	3	0	0.197917039	101124.797	101189.023	100981.404	101491.171	302.147845	0	0	0	0	0	3
15	4	0	0.212053971	101114.482	101184.053	100981.404	101491.171	307.117212	0	0	0	0	0	3
16	4	0	0.226190902	101126.381	101180.449	100981.404	101491.171	310.721738	0	0	0	0	0	3
17	4	0	0.240327833	101122.665	101177.05	100981.404	101491.171	314.120796	0	0	0	0	0	3
18	4	0	0.254464765	101129.419	101174.404	100981.404	101491.171	316.766958	0	0	0	0	0	3
19	4	0	0.268601696	101131.512	101172.146	100981.404	101491.171	319.02439	0	0	0	0	0	3
20	4	0	0.282738628	101137.364	101170.407	100981.404	101491.171	320.763519	0	0	0	0	0	3
21	5	0	0.296875559	101137.969	101168.862	100981.404	101491.171	322.30819	0	0	0	0	0	3
22	5	0	0.31101249	101141.637	101167.625	100981.404	101491.171	323.545704	0	0	0	0	0	3
23	5	0	0.325149422	101136.103	101166.254	100981.404	101491.171	324.916219	0	0	0	0	0	3
24	5	0	0.339286353	101142.456	101165.263	100981.404	101491.171	325.907809	0	0	0	0	0	3
25	5	0	0.353423285	101146.208	101164.501	100981.404	101491.171	326.669993	0	0	0	0	0	3
26	6	0	0.367560216	101146.849	101163.822	100981.404	101491.171	327.348916	0	0	0	0	0	3
27	6	0	0.381697147	101142.784	101163.042	100981.404	101491.171	328.12808	0	0	0	0	0	3
28	6	0	0.395834079	101146.029	101162.435	100981.404	101491.171	328.735721	0	0	0	0	0	3
29	6	0	0.40997101	101147.909	101161.934	100981.404	101491.171	329.236599	0	0	0	0	0	3
30	6	0	0.424107941	101154.344	101161.681	100981.404	101491.171	329.489595	0	0	0	0	0	3
31	6	0	0.438244873	101153.103	101161.404	100981.404	101491.171	329.766291	0	0	0	0	0	3
32	7	0	0.452381804	101152.191	101161.116	100981.404	101491.171	330.054221	0	0	0	0	0	3
33	7	0	0.466518736	101150.718	101160.801	100981.404	101491.171	330.369332	0	0	0	0	0	3
34	7	0	0.480655667	101147.532	101160.411	100981.404	101491.171	330.759613	0	0	0	0	0	3
35	7	0	0.494792598	101151.269	101160.15	100981.404	101491.171	331.020808	0	0	0	0	0	3
36	7	0	0.50892953	101148.422	101159.824	100981.404	101491.171	331.346577	0	0	0	0	0	3
37	8	0	0.523066461	101147.371	101150.274	100981.404	101299.354	102.908819	0	0	0	0	0	3
38	8	0	0.537203392	101144.928	101154.816	101114.482	101299.354	102.908819	0	0	0	0	0	3
39	8	0	0.551340324	101145.888	101152.953	101114.482	101299.354	102.908819	0	0	0	0	0	3
40	8	0	0.565477255	101146.269	101149.21	101114.482	101299.354	103.972853	0	0	0	0	0	3
41	8	0	0.579614187	101147.546	101144.993	101114.482	101243.865	106.636753	0	0	0	0	0	3
42	8	0	0.593751118	101146.618	101142.292	101114.482	101184.724	70.2420693	0	0	0	0	0	3
43	9	0	0.607888049	101145.023	101141.189	101114.482	101154.344	39.8618897	0	0	0	0	0	3
44	9	0	0.622024981	101144.737	101141.062	101114.482	101154.344	39.8618897	0	0	0	0	0	3
45	9	0	0.636161912	101144.004	101140.84	101114.482	101154.344	39.8618897	0	0	0	0	0	3
46	9	0	0.650298844	101143.744	101141.117	101114.482	101154.344	39.8618897	0	0	0	0	0	3
47	9	0	0.664435775	101144.963	101141.243	101114.482	101154.344	39.8618897	0	0	0	0	0	3
48	10	0	0.678572706	101146.588	101141.769	101114.482	101154.344	39.8618897	0	0	0	0	0	3
49	10	0	0.692709638	101146.694	101142.403	101114.482	101154.344	39.8618897	0	0	0	0	0	3
50	10	0	0.706846569	101147.523	101143.034	101114.482	101154.344	39.8618897	0	0	0	0	0	3
51	10	0	0.7209835	101147.171	101143.942	101122.665	101154.344	31.6792607	0	0	0	0	0	3
52	10	0	0.735120432	101146.611	101144.504	101122.665	101154.344	31.6792607	0	0	0	0	0	3
53	11	0	0.749257363	101147.547	101145.196	101129.419	101154.344	24.9252475	0	0	0	0	0	3
54	11	0	0.763394295	101148.866	101145.736	101131.512	101154.344	22.8317089	0	0	0	0	0	3
55	11	0	0.777531226	101148.602	101146.211	101136.103	101154.344	18.2410772	0	0	0	0	0	3
56	11	0	0.791668157	101150.115	101146.565	101136.103	101154.344	18.2410772	0	0	0	0	0	3
57	11	0	0.805805089	101152.193	101146.96	101136.103	101154.344	18.2410772	0	0	0	0	0	3
58	11	0	0.81994202	101150.475	101147.205	101136.103	101154.344	18.2410772	0	0	0	0	0	3
59	12	0	0.834078952	101152.271	101147.654	101142.456	101154.344	11.8879214	0	0	0	0	0	3
60	12	0	0.848215883	101150.27	101147.872	101142.784	101154.344	11.5598679	0	0	0	0	0	3
61	12	0	0.862352814	101154.291	101148.096	101142.784	101154.344	11.5598679	0	0	0	0	0	3
62	12	0	0.876489746	101155.973	101148.35	101142.784	101155.973	13.1890954	0	0	0	0	0	3
63	12	0	0.890626677	101157.088	101148.747	101143.744	101157.088	13.3437285	0	0	0	0	0	3
64	13	0	0.904763608	101156.828	101149.047	101143.744	101157.088	13.3437285	0	0	0	0	0	3
65	13	0	0.91890054	101160.26	101149.39	101143.744	101160.26	16.5154666	0	0	0	0	0	3
66	13	0	0.933037471	101158.388	101149.502	101143.744	101160.26	16.5154666	0	0	0	0	0	3
67	13	0	0.947174403	101161.808	101149.744	101143.744	101161.808	18.0633656	0	0	0	0	0	3
68	13	0	0.961311334	101160.42	101149.973	101143.744	101161.808	18.0633656	0	0	0	0	0	3
69	13	0	0.975448265	101160.051	101150.232	101143.744	101161.808	18.0633656	0	0	0	0	0	3
70	14	0	0.989585197	101158.266	101150.53	101143.744	101161.808	18.0633656	0	0	0	0	0	3
71	14	0	1.00372213	101158.189	101150.722	101143.744	101161.808	18.0633656	5.54615542	0	30.7	0	0	3
72	14	0	1.01785906	101156.702	101150.952	101143.744	101161.808	13.9758972	5.54615542	0	39.6	0	0	3
73	14	0	1.03199599	101156.848	101151.216	101143.744	101161.808	13.9758972	5.54615542	0	39.6	0	0	3
74	14	0	1.04613292	101156.827	101151.546	101143.744	101161.808	12.1123218	5.54615542	0	45.7	0	0	3
75	15	0	1.06026985	101157.465	101151.868	101143.744	101161.808	11.027249	5.54615542	0	50.2	0	0	3
76	15	0	1.07440678	101156.524	101152.153	101143.744	101161.808	11.3121203	5.54615542	0	49	0	0	3
77	15	0	1.08854372	101155.03	101152.36	101143.744	101161.808	11.5199958	5.54615542	0	48.1	0	0	3
78	15	0	1.10268065	101154.821	101152.588	101143.744	101161.808	11.7478417	5.54615542	0	47.2	0	0	3
79	15	0	1.11681758	101156.023	101152.894	101143.744	101161.808	12.0533934	5.54615542	0	46	0	0	3
80	15	0	1.13095451	101154.365	101153.161	101143.744	101161.808	12.320856	5.54615542	0	45	0	0	3
81	16	0	1.14509144	101153.485	101153.425	101143.744	101161.808	12.3077431	5.54615542	0	45	0	0	3
82	16	0	1.15922837	101156.241	101153.772	101144.963	101161.808	12.528584	5.54615542	0	44.2	0	0	3
83	16	0	1.1733653	101154.084	101154.025	101146.588	101161.808	12.255892	5.54615542	0	45.2	0	0	3
84	16	0	1.18750224	101152.327	101154.185	101146.611	101161.808	11.7813907	5.54615542	0	47	0	0	3
85	16	0	1.20163917	101152.65	101154.35	101146.611	101161.808	11.3155772	5.54615542	0	49	0	0	3
86	17	0	1.2157761	101153.225	101154.508	101146.611	101161.808	10.5659396	5.54615542	0	52.4	0	0	3
87	17	0	1.22991303	101153.733	101154.691	101146.611	101161.808	10.1862746	5.54615542	0	54.4	0	0	3
88	17	0	1.24404996	101152.455	101154.853	101147.547	101161.808	9.65742006	5.54615542	0	57.4	0	0	3
89	17	0	1.25818689	101154.342	101155.042	101148.602	101161.808	9.30596383	5.54615542	0	59.5	0	0	3
90	17	0	1.27232382	101153.896	101155.182	101148.602	101161.808	8.97098136	5.54615542	0	61.8	0	0	3
91	17	0	1.28646076	101153.206	101155.309	101150.115	101161.808	8.74465735	5.54615542	0	63.4	0	0	3
92	18	0	1.30059769	101153.308	101155.398	101150.27	101161.808	8.4382366	5.54615542	0	65.7	0	0	3
93	18	0	1.31473462	101154.004	101155.448	101150.27	101161.808	8.2430297	5.54615542	0	67.2	0	0	3
94	18	0	1.32887155	101154.589	101155.563	101150.27	101161.808	7.90817372	5.54615542	0	70.1	0	0	3
95	18	0	1.34300848	101155.017	101155.639	101150.27	101161.808	7.7673922	5.54615542	0	71.4	0	0	3
