Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	101011.722	101011.722	101011.722	101011.722	0	0	0	0	0	0	3
2	1	0	0.0282738628	100938.432	100975.077	100938.432	101011.722	36.6450198	0	0	0	0	0	3
3	1	0	0.0424107941	101084.672	101011.609	100938.432	101084.672	36.6450198	0	0	0	0	0	3
4	2	0	0.0565477255	101127.63	101040.614	100938.432	101127.63	65.5369221	0	0	0	0	0	3
5	2	0	0.0706846569	101111.779	101054.847	100938.432	101127.63	79.7700147	0	0	0	0	0	3
6	2	0	0.0848215883	101134.404	101068.107	100938.432	101134.404	93.0295682	0	0	0	0	0	3
7	2	0	0.0989585197	101113.765	101074.629	100938.432	101134.404	99.5521796	0	0	0	0	0	3
8	2	0	0.113095451	101124.361	101080.846	100938.432	101134.404	105.768647	0	0	0	0	0	3
9	2	0	0.127232382	101108.714	101083.942	100938.432	101134.404	108.865142	0	0	0	0	0	3
10	3	0	0.141369314	101086.898	101084.238	100938.432	101134.404	109.160719	0	0	0	0	0	3
11	3	0	0.155506245	101079.941	101083.847	100938.432	101134.404	109.160719	0	0	0	0	0	3
12	3	0	0.169643177	101078.835	101083.429	100938.432	101134.404	109.160719	0	0	0	0	0	3
13	3	0	0.183780108	101075.373	101082.81	100938.432	101134.404	109.160719	0	0	0	0	0	3
14	3	0	0.197917039	101077.423	101082.425	100938.432	101134.404	109.160719	0	0	0	0	0	3
15	4	0	0.212053971	101089.635	101082.906	100938.432	101134.404	109.160719	0	0	0	0	0	3
16	4	0	0.226190902	101090.945	101083.408	100938.432	101134.404	109.160719	0	0	0	0	0	3
17	4	0	0.240327833	101098.381	101084.289	100938.432	101134.404	109.211724	0	0	0	0	0	3
18	4	0	0.254464765	101102.557	101085.304	100938.432	101134.404	110.226621	0	0	0	0	0	3
19	4	0	0.268601696	101108.355	101086.517	100938.432	101134.404	111.439864	0	0	0	0	0	3
20	4	0	0.282738628	101107.01	101087.542	100938.432	101134.404	112.464529	0	0	0	0	0	3
21	5	0	0.296875559	101109.332	101088.579	100938.432	101134.404	113.502165	0	0	0	0	0	3
22	5	0	0.31101249	101111.128	101089.604	100938.432	101134.404	114.527126	0	0	0	0	0	3
23	5	0	0.325149422	101112.733	101090.61	100938.432	101134.404	115.532741	0	0	0	0	0	3
24	5	0	0.339286353	101117.766	101091.741	100938.432	101134.404	116.664263	0	0	0	0	0	3
25	5	0	0.353423285	101114.085	101092.635	100938.432	101134.404	117.558	0	0	0	0	0	3
26	6	0	0.367560216	101117.211	101093.58	100938.432	101134.404	118.503218	0	0	0	0	0	3
27	6	0	0.381697147	101114.876	101094.369	100938.432	101134.404	119.291963	0	0	0	0	0	3
28	6	0	0.395834079	101118.033	101095.214	100938.432	101134.404	120.137107	0	0	0	0	0	3
29	6	0	0.40997101	101115.452	101095.912	100938.432	101134.404	120.834951	0	0	0	0	0	3
30	6	0	0.424107941	101119.537	101096.699	100938.432	101134.404	121.62244	0	0	0	0	0	3
31	6	0	0.438244873	101116.719	101097.345	100938.432	101134.404	122.268234	0	0	0	0	0	3
32	7	0	0.452381804	101119.918	101098.051	100938.432	101134.404	122.973639	0	0	0	0	0	3
33	7	0	0.466518736	101114.072	101098.536	100938.432	101134.404	123.459146	0	0	0	0	0	3
34	7	0	0.480655667	101118.796	101099.132	100938.432	101134.404	124.055023	0	0	0	0	0	3
35	7	0	0.494792598	101112.898	101099.525	100938.432	101134.404	124.448331	0	0	0	0	0	3
36	7	0	0.50892953	101116.728	101100.003	100938.432	101134.404	124.926171	0	0	0	0	0	3
37	8	0	0.523066461	101112.593	101102.805	100938.432	101134.404	127.728153	0	0	0	0	0	3
38	8	0	0.537203392	101112.474	101107.64	101075.373	101134.404	59.0312821	0	0	0	0	0	3
39	8	0	0.551340324	101111.274	101108.379	101075.373	101134.404	59.0312821	0	0	0	0	0	3
40	8	0	0.565477255	101109.928	101107.887	101075.373	101134.404	53.5315923	0	0	0	0	0	3
41	8	0	0.579614187	101109.651	101107.828	101075.373	101134.404	40.2720388	0	0	0	0	0	3
42	8	0	0.593751118	101111.364	101107.188	101075.373	101124.361	33.7494274	0	0	0	0	0	3
43	9	0	0.607888049	101109.574	101107.071	101075.373	101124.361	27.5329604	0	0	0	0	0	3
44	9	0	0.622024981	101110.391	101106.683	101075.373	101119.918	25.9537228	0	0	0	0	0	3
45	9	0	0.636161912	101107.889	101106.66	101075.373	101119.918	25.9537228	0	0	0	0	0	3
46	9	0	0.650298844	101107.909	101107.244	101075.373	101119.918	25.9537228	0	0	0	0	0	3
47	9	0	0.664435775	101109.442	101108.064	101075.373	101119.918	25.9537228	0	0	0	0	0	3
48	10	0	0.678572706	101110.77	101108.951	101075.373	101119.918	26.5257296	0	0	0	0	0	3
49	10	0	0.692709638	101108.876	101109.881	101077.423	101119.918	27.4563794	0	0	0	0	0	3
50	10	0	0.706846569	101110.467	101110.799	101089.635	101119.918	27.8936263	0	0	0	0	0	3
51	10	0	0.7209835	101111.21	101111.398	101090.945	101119.918	27.9904952	0	0	0	0	0	3
52	10	0	0.735120432	101111.737	101111.976	101098.381	101119.918	21.5376079	0	0	0	0	0	3
53	11	0	0.749257363	101108.972	101112.27	101102.557	101119.918	17.3613412	0	0	0	0	0	3
54	11	0	0.763394295	101109.259	101112.456	101107.01	101119.918	12.9080342	0	0	0	0	0	3
55	11	0	0.777531226	101107.737	101112.439	101107.01	101119.918	12.9080342	0	0	0	0	0	3
56	11	0	0.791668157	101107.024	101112.44	101107.024	101119.918	12.8938165	0	0	0	0	0	3
57	11	0	0.805805089	101104.696	101112.311	101104.696	101119.918	15.2223541	0	0	0	0	0	3
58	11	0	0.81994202	101107.597	101112.213	101104.696	101119.918	15.2223541	0	0	0	0	0	3
59	12	0	0.834078952	101106.954	101112.052	101104.696	101119.918	15.2223541	0	0	0	0	0	3
60	12	0	0.848215883	101108.339	101111.79	101104.696	101119.918	15.2223541	0	0	0	0	0	3
61	12	0	0.862352814	101104.112	101111.513	101104.112	101119.918	15.8057644	0	0	0	0	0	3
62	12	0	0.876489746	101103.542	101111.134	101103.542	101119.918	16.3763524	0	0	0	0	0	3
63	12	0	0.890626677	101103.529	101110.819	101103.529	101119.918	16.3892377	0	0	0	0	0	3
64	13	0	0.904763608	101105.105	101110.459	101103.529	101119.918	16.3892377	0	0	0	0	0	3
65	13	0	0.91890054	101104.315	101110.15	101103.529	101119.918	15.7570153	0	0	0	0	0	3
66	13	0	0.933037471	101106.565	101109.79	101103.529	101119.918	15.1112218	0	0	0	0	0	3
67	13	0	0.947174403	101104.694	101109.456	101103.529	101119.918	14.4058166	0	0	0	0	0	3
68	13	0	0.961311334	101107.532	101109.112	101103.529	101118.796	13.9203096	0	0	0	0	0	3
69	13	0	0.975448265	101109.017	101108.971	101103.529	101118.796	13.3244325	0	0	0	0	0	3
70	14	0	0.989585197	101111.168	101108.759	101103.529	101116.728	12.9311245	0	0	0	0	0	3
71	14	0	1.00372213	101110.476	101108.692	101103.529	101116.728	12.4532843	1.77093846	0	14.2	0	0	3
72	14	0	1.01785906	101112.096	101108.563	101103.529	101112.593	9.06441305	1.77093846	0	19.5	0	0	3
73	14	0	1.03199599	101112.959	101108.574	101103.529	101112.959	5.79605396	1.77093846	0	30.5	0	0	3
74	14	0	1.04613292	101112.02	101108.561	101103.529	101112.959	5.79605396	1.77093846	0	30.5	0	0	3
75	15	0	1.06026985	101111.913	101108.579	101103.529	101112.959	5.79605396	1.77093846	0	30.5	0	0	3
76	15	0	1.07440678	101113.344	101108.674	101103.529	101113.344	5.79605396	1.77093846	0	30.5	0	0	3
77	15	0	1.08854372	101112.422	101108.751	101103.529	101113.344	5.79605396	1.77093846	0	30.5	0	0	3
78	15	0	1.10268065	101113.219	101108.802	101103.529	101113.344	5.79605396	1.77093846	0	30.5	0	0	3
79	15	0	1.11681758	101110.855	101108.838	101103.529	101113.344	5.79605396	1.77093846	0	30.5	0	0	3
80	15	0	1.13095451	101112.476	101108.896	101103.529	101113.344	5.79605396	1.77093846	0	30.5	0	0	3
81	16	0	1.14509144	101109.972	101108.953	101103.529	101113.344	5.21242213	1.77093846	0	33.9	0	0	3
82	16	0	1.15922837	101111.253	101109.046	101103.529	101113.344	4.39293854	1.77093846	0	40.3	0	0	3
83	16	0	1.1733653	101109.994	101109.062	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
84	16	0	1.18750224	101111.665	101109.086	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
85	16	0	1.20163917	101110.458	101109.13	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
86	17	0	1.2157761	101111.301	101109.154	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
87	17	0	1.22991303	101109.966	101109.119	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
88	17	0	1.24404996	101110.844	101109.094	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
89	17	0	1.25818689	101109.208	101109.101	101103.529	101113.344	3.89552606	1.77093846	0	45.4	0	0	3
90	17	0	1.27232382	101110.618	101109.138	101103.529	101113.344	3.87873955	1.77093846	0	45.6	0	0	3
91	17	0	1.28646076	101108.787	101109.168	101103.529	101113.344	3.87873955	1.77093846	0	45.6	0	0	3
92	18	0	1.30059769	101110.669	101109.269	101103.529	101113.344	3.74996091	1.77093846	0	47.2	0	0	3
93	18	0	1.31473462	101109.717	101109.408	101103.529	101113.344	3.65188083	1.77093846	0	48.4	0	0	3
94	18	0	1.32887155	101110.977	101109.502	101103.529	101113.344	3.49133829	1.77093846	0	50.7	0	0	3
95	18	0	1.34300848	101109.845	101109.583	101103.529	101113.344	3.22946953	1.77093846	0	54.8	0	0	3
96	18	0	1.35714541	101111.737	101109.677	101103.529	101113.344	2.95246252	1.77093846	0	59.9	0	0	3
97	19	0	1.37128234	101111.399	101109.879	101103.529	101113.344	2.5727728	1.77093846	0	68.8	0	0	3
98	19	0	1.38541928	101113.143	101110.146	101103.529	101113.344	2.25756812	1.77093846	0	78.4	0	0	3
99	19	0	1.39955621	101109.95	101110.324	101104.315	101113.344	1.89846355	1.77093846	0	93.2	0	0	3
100	19	0	1.41369314	101113.092	101110.546	101104.315	101113.344	1.98527477	1.77093846	0	89.2	0	0	3
101	20	0	1.42783007	101110.822	101110.727	101104.694	101113.344	2.16601771	1.77093846	0	81.7	0	0	3
102	20	0	1.441967	101112.151	101110.882	101104.694	101113.344	2.32116687	1.77093846	0	76.2	0	0	3
103	20	0	1.45610393	101110.489	101111.043	101107.532	101113.344	2.48213642	1.77093846	0	71.3	0	0	3
104	20	0	1.47024086	101111.955	101111.166	101108.787	101113.344	2.60500089	1.77093846	0	67.9	0	0	3
105	20	0	1.4843778	101110.021	101111.194	101108.787	101113.344	2.63288023	1.77093846	0	67.2	0	0	3
106	20	0	1.49851473	101111.164	101111.194	101108.787	101113.344	2.63288023	1.77093846	0	67.2	0	0	3
107	21	0	1.51265166	101109.822	101111.176	101108.787	101113.344	2.63288023	1.77093846	0	67.2	0	0	3
108	21	0	1.52678859	101109.663	101111.108	101108.787	101113.344	2.63288023	1.77093846	0	67.2	0	0	3
109	21	0	1.54092552	101109.157	101111.002	101108.787	101113.344	2.63288023	1.77093846	0	67.2	0	0	3
110	21	0	1.55506245	101110.397	101110.957	101108.787	101113.344	2.61513894	1.77093846	0	67.7	0	0	3
111	21	0	1.56919938	101111.286	101110.94	101108.787	101113.344	2.52024145	1.77093846	0	70.2	0	0	3
112	22	0	1.58333631	101112.459	101110.915	101108.787	101113.219	2.44329111	1.77093846	0	72.4	0	0	3
113	22	0	1.59747325	101110.318	101110.857	101108.787	101113.219	2.39176686	1.77093846	0	74	0	0	3
114	22	0	1.61161018	101110.865	101110.791	101108.787	101113.143	2.3561986	1.77093846	0	75.1	0	0	3
115	22	0	1.62574711	101109.237	101110.746	101108.787	101113.143	2.29828858	1.77093846	0	77	0	0	3
116	22	0	1.63988404	101111.836	101110.729	101108.787	101113.143	2.24043079	1.77093846	0	79	0	0	3
117	22	0	1.65402097	101110.057	101110.731	101108.787	101113.143	2.14752888	1.77093846	0	82.4	0	0	3
118	23	0	1.6681579	101110.716	101110.716	101108.787	101113.143	2.1322103	1.77093846	0	83	0	0	3
119	23	0	1.68229483	101108.941	101110.687	101108.787	101113.143	2.10734869	1.77093846	0	84	0	0	3
120	23	0	1.69643177	101111.895	101110.693	101108.787	101113.143	2.09961375	1.77093846	0	84.3	0	0	3
121	23	0	1.7105687	101109.009	101110.653	101108.787	101113.143	2.09961375	1.77093846	0	84.3	0	0	3
122	23	0	1.72470563	101109.863	101110.613	101108.787	101113.143	2.09961375	1.77093846	0	84.3	0	0	3
123	24	0	1.73884256	101108.403	101110.57	101108.403	101113.143	2.09961375	1.77093846	0	84.3	0	0	3
124	24	0	1.75297949	101109.254	101110.525	101108.403	101113.143	2.09307435	1.77093846	0	84.6	0	0	3
125	24	0	1.76711642	101107.173	101110.469	101107.173	101113.143	2.05534773	1.77093846	0	86.1	0	0	3
126	24	0	1.78125335	101108.492	101110.41	101107.173	101113.143	2.02616739	1.77093846	0	87.4	0	0	3
127	24	0	1.79539029	101108.927	101110.414	101107.173	101113.143	1.92492961	1.77093846	0	92	0	0	3
128	24	0	1.80952722	101109.689	101110.387	101107.173	101113.143	1.78545971	1.77093846	0	99.1	0	0	3
129	25	0	1.82366415	101108.979	101110.366	101107.173	101113.143	1.69159584	1.77093846	0	100	0	0	3
