Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0282738628	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0424107941	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0565477255	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0706846569	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0848215883	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.0989585197	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.113095451	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.127232382	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.141369314	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.155506245	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.169643177	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.183780108	0	0	0	0	0	0	0	0	0	0	3
14	3	0	0.197917039	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.212053971	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.226190902	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.240327833	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.254464765	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.268601696	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.282738628	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.296875559	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.31101249	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.325149422	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.339286353	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.353423285	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.367560216	0	0	0	0	0	0	0	0	0	0	3
27	6	0	0.381697147	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.395834079	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.40997101	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.424107941	0	0	0	0	0	0	0	0	0	0	3
31	6	0	0.438244873	0	0	0	0	0	0	0	0	0	0	3
32	7	0	0.452381804	0	0	0	0	0	0	0	0	0	0	3
33	7	0	0.466518736	0	0	0	0	0	0	0	0	0	0	3
34	7	0	0.480655667	0	0	0	0	0	0	0	0	0	0	3
35	7	0	0.494792598	0	0	0	0	0	0	0	0	0	0	3
