Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	101326.16	101326.16	101326.16	101326.16	0	0	0	0	0	0	3
2	1	0	0.0282738628	101324.53	101325.345	101324.53	101326.16	0.814989866	0	0	0	0	0	3
3	1	0	0.0424107941	101325.108	101325.266	101324.53	101326.16	0.893698388	0	0	0	0	0	3
4	2	0	0.0565477255	101325.055	101325.213	101324.53	101326.16	0.946368227	0	0	0	0	0	3
5	2	0	0.0706846569	101325.061	101325.183	101324.53	101326.16	0.976723592	0	0	0	0	0	3
6	2	0	0.0848215883	101325.023	101325.156	101324.53	101326.16	1.00336083	0	0	0	0	0	3
7	2	0	0.0989585197	101325.119	101325.151	101324.53	101326.16	1.00868387	0	0	0	0	0	3
8	2	0	0.113095451	101325.107	101325.145	101324.53	101326.16	1.01418861	0	0	0	0	0	3
9	2	0	0.127232382	101325.198	101325.151	101324.53	101326.16	1.01418861	0	0	0	0	0	3
10	3	0	0.141369314	101325.148	101325.151	101324.53	101326.16	1.01418861	0	0	0	0	0	3
11	3	0	0.155506245	101325.206	101325.156	101324.53	101326.16	1.01418861	0	0	0	0	0	3
12	3	0	0.169643177	101325.164	101325.157	101324.53	101326.16	1.01418861	0	0	0	0	0	3
13	3	0	0.183780108	101325.182	101325.159	101324.53	101326.16	1.01418861	0	0	0	0	0	3
14	3	0	0.197917039	101325.164	101325.159	101324.53	101326.16	1.01418861	0	0	0	0	0	3
15	4	0	0.212053971	101325.177	101325.16	101324.53	101326.16	1.01418861	0	0	0	0	0	3
16	4	0	0.226190902	101325.167	101325.161	101324.53	101326.16	1.01418861	0	0	0	0	0	3
17	4	0	0.240327833	101325.173	101325.161	101324.53	101326.16	1.01418861	0	0	0	0	0	3
18	4	0	0.254464765	101325.156	101325.161	101324.53	101326.16	1.01418861	0	0	0	0	0	3
19	4	0	0.268601696	101325.156	101325.161	101324.53	101326.16	1.01418861	0	0	0	0	0	3
20	4	0	0.282738628	101325.144	101325.16	101324.53	101326.16	1.01418861	0	0	0	0	0	3
21	5	0	0.296875559	101325.143	101325.159	101324.53	101326.16	1.01418861	0	0	0	0	0	3
22	5	0	0.31101249	101325.117	101325.157	101324.53	101326.16	1.01418861	0	0	0	0	0	3
23	5	0	0.325149422	101325.072	101325.154	101324.53	101326.16	1.01418861	0	0	0	0	0	3
24	5	0	0.339286353	101325.046	101325.149	101324.53	101326.16	1.01418861	0	0	0	0	0	3
25	5	0	0.353423285	101325.006	101325.143	101324.53	101326.16	1.01616947	0	0	0	0	0	3
26	6	0	0.367560216	101324.981	101325.137	101324.53	101326.16	1.02242117	0	0	0	0	0	3
27	6	0	0.381697147	101324.946	101325.13	101324.53	101326.16	1.02950217	0	0	0	0	0	3
28	6	0	0.395834079	101324.925	101325.123	101324.53	101326.16	1.03681115	0	0	0	0	0	3
29	6	0	0.40997101	101324.895	101325.115	101324.53	101326.16	1.0446523	0	0	0	0	0	3
30	6	0	0.424107941	101324.875	101325.107	101324.53	101326.16	1.05264305	0	0	0	0	0	3
31	6	0	0.438244873	101324.872	101325.099	101324.53	101326.16	1.06022507	0	0	0	0	0	3
32	7	0	0.452381804	101324.876	101325.092	101324.53	101326.16	1.06719717	0	0	0	0	0	3
33	7	0	0.466518736	101324.863	101325.085	101324.53	101326.16	1.07414816	0	0	0	0	0	3
34	7	0	0.480655667	101324.858	101325.079	101324.53	101326.16	1.08083271	0	0	0	0	0	3
35	7	0	0.494792598	101324.858	101325.072	101324.53	101326.16	1.08712829	0	0	0	0	0	3
36	7	0	0.50892953	101324.863	101325.067	101324.53	101326.16	1.09294261	0	0	0	0	0	3
37	8	0	0.523066461	101324.86	101325.03	101324.53	101325.206	0.31405351	0	0	0	0	0	3
38	8	0	0.537203392	101324.869	101325.04	101324.858	101325.206	0.235344988	0	0	0	0	0	3
39	8	0	0.551340324	101324.864	101325.033	101324.858	101325.206	0.182675149	0	0	0	0	0	3
40	8	0	0.565477255	101324.865	101325.028	101324.858	101325.206	0.154964484	0	0	0	0	0	3
41	8	0	0.579614187	101324.867	101325.022	101324.858	101325.206	0.13890308	0	0	0	0	0	3
42	8	0	0.593751118	101324.872	101325.018	101324.858	101325.206	0.143101668	0	0	0	0	0	3
43	9	0	0.607888049	101324.869	101325.011	101324.858	101325.206	0.150047998	0	0	0	0	0	3
44	9	0	0.622024981	101324.873	101325.005	101324.858	101325.206	0.156539441	0	0	0	0	0	3
45	9	0	0.636161912	101324.874	101324.996	101324.858	101325.206	0.16553187	0	0	0	0	0	3
46	9	0	0.650298844	101324.876	101324.988	101324.858	101325.206	0.17308131	0	0	0	0	0	3
47	9	0	0.664435775	101324.876	101324.979	101324.858	101325.182	0.182260538	0	0	0	0	0	3
48	10	0	0.678572706	101324.877	101324.971	101324.858	101325.182	0.190232266	0	0	0	0	0	3
49	10	0	0.692709638	101324.875	101324.963	101324.858	101325.177	0.19875918	0	0	0	0	0	3
50	10	0	0.706846569	101324.879	101324.955	101324.858	101325.177	0.206679561	0	0	0	0	0	3
51	10	0	0.7209835	101324.882	101324.946	101324.858	101325.173	0.214875057	0	0	0	0	0	3
52	10	0	0.735120432	101324.879	101324.938	101324.858	101325.173	0.222873647	0	0	0	0	0	3
53	11	0	0.749257363	101324.879	101324.93	101324.858	101325.156	0.230767623	0	0	0	0	0	3
54	11	0	0.763394295	101324.878	101324.923	101324.858	101325.156	0.23826405	0	0	0	0	0	3
55	11	0	0.777531226	101324.876	101324.915	101324.858	101325.144	0.245205765	0	0	0	0	0	3
56	11	0	0.791668157	101324.876	101324.907	101324.858	101325.143	0.251855786	0	0	0	0	0	3
57	11	0	0.805805089	101324.879	101324.9	101324.858	101325.117	0.257293743	0	0	0	0	0	3
58	11	0	0.81994202	101324.879	101324.893	101324.858	101325.072	0.214312897	0	0	0	0	0	3
59	12	0	0.834078952	101324.88	101324.888	101324.858	101325.046	0.187662135	0	0	0	0	0	3
60	12	0	0.848215883	101324.882	101324.883	101324.858	101325.006	0.147664574	0	0	0	0	0	3
61	12	0	0.862352814	101324.883	101324.88	101324.858	101324.981	0.122709364	0	0	0	0	0	3
62	12	0	0.876489746	101324.886	101324.877	101324.858	101324.946	0.0878150842	0	0	0	0	0	3
63	12	0	0.890626677	101324.884	101324.876	101324.858	101324.925	0.0672692195	0	0	0	0	0	3
64	13	0	0.904763608	101324.885	101324.875	101324.858	101324.895	0.037218649	0	0	0	0	0	3
65	13	0	0.91890054	101324.883	101324.874	101324.858	101324.886	0.0277461515	0	0	0	0	0	3
66	13	0	0.933037471	101324.884	101324.874	101324.858	101324.886	0.0277461515	0	0	0	0	0	3
67	13	0	0.947174403	101324.883	101324.875	101324.858	101324.886	0.0277461515	0	0	0	0	0	3
68	13	0	0.961311334	101324.886	101324.875	101324.858	101324.886	0.0277461515	0	0	0	0	0	3
69	13	0	0.975448265	101324.886	101324.876	101324.858	101324.886	0.0281305944	0	0	0	0	0	3
70	14	0	0.989585197	101324.889	101324.877	101324.858	101324.889	0.0310134417	0	0	0	0	0	3
71	14	0	1.00372213	101324.889	101324.877	101324.86	101324.889	0.029463051	0.0104492295	0	0	0	0	3
72	14	0	1.01785906	101324.89	101324.878	101324.86	101324.89	0.0305594687	0.0104492295	0	0	0	0	3
73	14	0	1.03199599	101324.89	101324.879	101324.864	101324.89	0.0265516332	0.0104492295	0	0	0	0	3
74	14	0	1.04613292	101324.89	101324.88	101324.864	101324.89	0.0265516332	0.0104492295	0	0	0	0	3
75	15	0	1.06026985	101324.887	101324.88	101324.865	101324.89	0.0254378778	0.0104492295	0	0	0	0	3
76	15	0	1.07440678	101324.888	101324.881	101324.867	101324.89	0.0237173036	0.0104492295	0	0	0	0	3
77	15	0	1.08854372	101324.888	101324.882	101324.869	101324.89	0.0216218786	0.0104492295	0	0	0	0	3
78	15	0	1.10268065	101324.886	101324.882	101324.869	101324.89	0.0216218786	0.0104492295	0	0	0	0	3
79	15	0	1.11681758	101324.885	101324.882	101324.873	101324.89	0.0173456209	0.0104492295	0	0	0	0	3
