Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0141369314	293.200179	293.200179	293.200179	293.200179	0	0	0	0	0	0	3
2	1	0	0.0282738628	293.200173	293.200176	293.200173	293.200179	2.95045641e-06	0	0	0	0	0	3
3	1	0	0.0424107941	293.20023	293.200194	293.200173	293.20023	1.7853277e-05	0	0	0	0	0	3
4	2	0	0.0565477255	293.200257	293.20021	293.200173	293.200257	3.3495294e-05	0	0	0	0	0	3
5	2	0	0.0706846569	293.20029	293.200226	293.200173	293.20029	4.95468923e-05	0	0	0	0	0	3
6	2	0	0.0848215883	293.200345	293.200246	293.200173	293.200345	6.9413128e-05	0	0	0	0	0	3
7	2	0	0.0989585197	293.200417	293.20027	293.200173	293.200417	9.3896156e-05	0	0	0	0	0	3
8	2	0	0.113095451	293.200487	293.200297	293.200173	293.200487	0.000121045565	0	0	0	0	0	3
9	2	0	0.127232382	293.200562	293.200327	293.200173	293.200562	0.000150477748	0	0	0	0	0	3
10	3	0	0.141369314	293.200632	293.200357	293.200173	293.200632	0.000180985067	0	0	0	0	0	3
11	3	0	0.155506245	293.200741	293.200392	293.200173	293.200741	0.000215888612	0	0	0	0	0	3
12	3	0	0.169643177	293.200845	293.20043	293.200173	293.200845	0.000253603427	0	0	0	0	0	3
13	3	0	0.183780108	293.200948	293.20047	293.200173	293.200948	0.000293459389	0	0	0	0	0	3
14	3	0	0.197917039	293.201046	293.200511	293.200173	293.201046	0.000334613043	0	0	0	0	0	3
15	4	0	0.212053971	293.201142	293.200553	293.200173	293.201142	0.000376709074	0	0	0	0	0	3
16	4	0	0.226190902	293.201284	293.200599	293.200173	293.201284	0.000422413616	0	0	0	0	0	3
17	4	0	0.240327833	293.201427	293.200647	293.200173	293.201427	0.000471137671	0	0	0	0	0	3
18	4	0	0.254464765	293.201567	293.200698	293.200173	293.201567	0.000522233601	0	0	0	0	0	3
19	4	0	0.268601696	293.201707	293.200752	293.200173	293.201707	0.000575328774	0	0	0	0	0	3
20	4	0	0.282738628	293.201842	293.200806	293.200173	293.201842	0.000629836697	0	0	0	0	0	3
