Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0141369314
2	1	0	0.0282738628
3	1	0	0.0424107941
4	2	0	0.0565477255
5	2	0	0.0706846569
6	2	0	0.0848215883
7	2	0	0.0989585197
8	2	0	0.113095451
9	2	0	0.127232382
10	3	0	0.141369314
11	3	0	0.155506245
12	3	0	0.169643177
13	3	0	0.183780108
14	3	0	0.197917039
15	4	0	0.212053971
16	4	0	0.226190902
17	4	0	0.240327833
18	4	0	0.254464765
19	4	0	0.268601696
20	4	0	0.282738628
21	5	0	0.296875559
22	5	0	0.31101249
23	5	0	0.325149422
24	5	0	0.339286353
25	5	0	0.353423285
26	6	0	0.367560216
27	6	0	0.381697147
28	6	0	0.395834079
29	6	0	0.40997101
30	6	0	0.424107941
31	6	0	0.438244873
32	7	0	0.452381804
33	7	0	0.466518736
34	7	0	0.480655667
35	7	0	0.494792598
36	7	0	0.50892953
37	8	0	0.523066461
38	8	0	0.537203392
39	8	0	0.551340324
40	8	0	0.565477255
41	8	0	0.579614187
42	8	0	0.593751118
43	9	0	0.607888049
44	9	0	0.622024981
45	9	0	0.636161912
46	9	0	0.650298844
47	9	0	0.664435775
48	10	0	0.678572706
49	10	0	0.692709638
50	10	0	0.706846569
51	10	0	0.7209835
52	10	0	0.735120432
53	11	0	0.749257363
54	11	0	0.763394295
55	11	0	0.777531226
56	11	0	0.791668157
57	11	0	0.805805089
58	11	0	0.81994202
59	12	0	0.834078952
60	12	0	0.848215883
61	12	0	0.862352814
62	12	0	0.876489746
63	12	0	0.890626677
64	13	0	0.904763608
65	13	0	0.91890054
66	13	0	0.933037471
67	13	0	0.947174403
68	13	0	0.961311334
69	13	0	0.975448265
70	14	0	0.989585197
71	14	0	1.00372213
72	14	0	1.01785906
73	14	0	1.03199599
74	14	0	1.04613292
75	15	0	1.06026985
76	15	0	1.07440678
77	15	0	1.08854372
78	15	0	1.10268065
79	15	0	1.11681758
80	15	0	1.13095451
81	16	0	1.14509144
82	16	0	1.15922837
83	16	0	1.1733653
84	16	0	1.18750224
85	16	0	1.20163917
86	17	0	1.2157761
87	17	0	1.22991303
88	17	0	1.24404996
89	17	0	1.25818689
90	17	0	1.27232382
91	17	0	1.28646076
92	18	0	1.30059769
93	18	0	1.31473462
94	18	0	1.32887155
95	18	0	1.34300848
96	18	0	1.35714541
97	19	0	1.37128234
98	19	0	1.38541928
99	19	0	1.39955621
100	19	0	1.41369314
101	20	0	1.42783007
102	20	0	1.441967
103	20	0	1.45610393
104	20	0	1.47024086
105	20	0	1.4843778
106	20	0	1.49851473
107	21	0	1.51265166
108	21	0	1.52678859
109	21	0	1.54092552
110	21	0	1.55506245
111	21	0	1.56919938
112	22	0	1.58333631
113	22	0	1.59747325
114	22	0	1.61161018
115	22	0	1.62574711
116	22	0	1.63988404
117	22	0	1.65402097
118	23	0	1.6681579
119	23	0	1.68229483
120	23	0	1.69643177
121	23	0	1.7105687
122	23	0	1.72470563
123	24	0	1.73884256
124	24	0	1.75297949
125	24	0	1.76711642
126	24	0	1.78125335
127	24	0	1.79539029
128	24	0	1.80952722
129	25	0	1.82366415
